region2	reg_region	type	tissue/cell	genes
1:48160001-48200000	1:48174506-48176030	prom	E068	NA
1:48160001-48200000	1:48174506-48176030	prom	E074	NA
12:49250000-49260000	12:49256205-49256518	prom	E053	NA
12:49250000-49260000	12:49256205-49256518	prom	E054	NA
12:49250000-49260000	12:49256205-49256518	prom	E067	NA
12:49250000-49260000	12:49256205-49256518	prom	E068	NA
12:49250000-49260000	12:49256205-49256518	prom	E069	NA
12:49250000-49260000	12:49256205-49256518	prom	E070	NA
12:49250000-49260000	12:49256205-49256518	prom	E071	NA
12:49250000-49260000	12:49256205-49256518	prom	E072	NA
12:49250000-49260000	12:49256205-49256518	prom	E073	NA
12:49250000-49260000	12:49256205-49256518	prom	E081	NA
12:49250000-49260000	12:49256205-49256518	prom	E082	NA
12:49250000-49260000	12:49256564-49257466	prom	E053	NA
12:49250000-49260000	12:49256564-49257466	prom	E054	NA
12:49250000-49260000	12:49256564-49257466	prom	E067	NA
12:49250000-49260000	12:49256564-49257466	prom	E068	NA
12:49250000-49260000	12:49256564-49257466	prom	E069	NA
12:49250000-49260000	12:49256564-49257466	prom	E070	NA
12:49250000-49260000	12:49256564-49257466	prom	E071	NA
12:49250000-49260000	12:49256564-49257466	prom	E072	NA
12:49250000-49260000	12:49256564-49257466	prom	E073	NA
12:49250000-49260000	12:49256564-49257466	prom	E081	NA
12:49250000-49260000	12:49256564-49257466	prom	E082	NA
12:49250000-49260000	12:49257498-49257569	prom	E053	NA
12:49250000-49260000	12:49257498-49257569	prom	E054	NA
12:49250000-49260000	12:49257498-49257569	prom	E067	NA
12:49250000-49260000	12:49257498-49257569	prom	E068	NA
12:49250000-49260000	12:49257498-49257569	prom	E069	NA
12:49250000-49260000	12:49257498-49257569	prom	E070	NA
12:49250000-49260000	12:49257498-49257569	prom	E071	NA
12:49250000-49260000	12:49257498-49257569	prom	E072	NA
12:49250000-49260000	12:49257498-49257569	prom	E073	NA
12:49250000-49260000	12:49257498-49257569	prom	E081	NA
12:49250000-49260000	12:49257498-49257569	prom	E082	NA
12:49250000-49260000	12:49257597-49257638	prom	E053	NA
12:49250000-49260000	12:49257597-49257638	prom	E054	NA
12:49250000-49260000	12:49257597-49257638	prom	E067	NA
12:49250000-49260000	12:49257597-49257638	prom	E068	NA
12:49250000-49260000	12:49257597-49257638	prom	E069	NA
12:49250000-49260000	12:49257597-49257638	prom	E070	NA
12:49250000-49260000	12:49257597-49257638	prom	E071	NA
12:49250000-49260000	12:49257597-49257638	prom	E072	NA
12:49250000-49260000	12:49257597-49257638	prom	E073	NA
12:49250000-49260000	12:49257597-49257638	prom	E081	NA
12:49250000-49260000	12:49257597-49257638	prom	E082	NA
12:49250000-49260000	12:49257656-49257786	prom	E053	NA
12:49250000-49260000	12:49257656-49257786	prom	E054	NA
12:49250000-49260000	12:49257656-49257786	prom	E067	NA
12:49250000-49260000	12:49257656-49257786	prom	E068	NA
12:49250000-49260000	12:49257656-49257786	prom	E069	NA
12:49250000-49260000	12:49257656-49257786	prom	E070	NA
12:49250000-49260000	12:49257656-49257786	prom	E071	NA
12:49250000-49260000	12:49257656-49257786	prom	E072	NA
12:49250000-49260000	12:49257656-49257786	prom	E073	NA
12:49250000-49260000	12:49257656-49257786	prom	E081	NA
12:49250000-49260000	12:49257656-49257786	prom	E082	NA
12:49250000-49260000	12:49257809-49260343	prom	E053	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E054	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E067	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E068	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E069	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E070	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E071	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E072	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E073	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E074	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E081	ENSG00000172602
12:49250000-49260000	12:49257809-49260343	prom	E082	ENSG00000172602
12:49410000-49420000	12:49411488-49414118	prom	E053	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E054	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E067	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E068	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E069	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E070	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E071	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E072	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E073	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E081	ENSG00000181929
12:49410000-49420000	12:49411488-49414118	prom	E082	ENSG00000181929
12:49450000-49460000	12:49452509-49455557	prom	E053	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E054	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E067	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E068	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E069	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E070	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E071	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E072	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E073	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E074	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E081	ENSG00000167548
12:49450000-49460000	12:49452509-49455557	prom	E082	ENSG00000167548
12:49460000-49470000	12:49462901-49464422	prom	E053	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E054	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E067	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E068	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E069	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E070	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E071	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E072	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E073	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E074	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E081	ENSG00000167550
12:49460000-49470000	12:49462901-49464422	prom	E082	ENSG00000167550
12:49480000-49490000	12:49483380-49484461	prom	E054	NA
12:49480000-49490000	12:49483380-49484461	prom	E067	NA
12:49480000-49490000	12:49483380-49484461	prom	E069	NA
12:49480000-49490000	12:49483380-49484461	prom	E071	NA
12:49480000-49490000	12:49483380-49484461	prom	E072	NA
12:49480000-49490000	12:49483380-49484461	prom	E073	NA
12:49480000-49490000	12:49483380-49484461	prom	E074	NA
12:49520000-49530000	12:49523491-49526520	prom	E053	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E054	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E067	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E068	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E069	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E070	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E071	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E072	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E073	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E074	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E081	ENSG00000123416
12:49520000-49530000	12:49523491-49526520	prom	E082	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E053	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E054	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E067	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E068	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E069	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E070	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E071	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E072	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E073	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E074	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E081	ENSG00000123416
12:49520001-49560000	12:49523491-49526520	prom	E082	ENSG00000123416
12:49560001-49600000	12:49580416-49580479	prom	E053	NA
12:49560001-49600000	12:49580416-49580479	prom	E054	NA
12:49560001-49600000	12:49580416-49580479	prom	E067	NA
12:49560001-49600000	12:49580416-49580479	prom	E069	NA
12:49560001-49600000	12:49580416-49580479	prom	E070	NA
12:49560001-49600000	12:49580416-49580479	prom	E073	NA
12:49560001-49600000	12:49580416-49580479	prom	E074	NA
12:49560001-49600000	12:49580416-49580479	prom	E081	NA
12:49560001-49600000	12:49580589-49583865	prom	E053	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E054	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E067	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E068	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E069	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E070	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E071	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E072	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E073	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E074	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E081	ENSG00000167552:ENSG00000167553
12:49560001-49600000	12:49580589-49583865	prom	E082	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580416-49580479	prom	E053	NA
12:49580000-49590000	12:49580416-49580479	prom	E054	NA
12:49580000-49590000	12:49580416-49580479	prom	E067	NA
12:49580000-49590000	12:49580416-49580479	prom	E069	NA
12:49580000-49590000	12:49580416-49580479	prom	E070	NA
12:49580000-49590000	12:49580416-49580479	prom	E073	NA
12:49580000-49590000	12:49580416-49580479	prom	E074	NA
12:49580000-49590000	12:49580416-49580479	prom	E081	NA
12:49580000-49590000	12:49580589-49583865	prom	E053	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E054	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E067	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E068	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E069	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E070	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E071	ENSG00000167552:ENSG00000167553
12:49580000-49590000	12:49580589-49583865	prom	E072	ENSG00000167552:ENSG00000167553
