ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	98	18.97	2.35813840677e-10	rs4665930;rs7575465	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	51	15.81	3.24512000605e-10	rs7575465;rs4665930	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	12	15.81	1.79322057647e-07	rs7575465;rs4665930	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	22	16.07	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	14	16.07	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	20	18.13	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	22	19.29	3.60064235372e-11	rs7575465;rs4665930	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	30	19.29	1.58451082116e-11	rs7575465;rs4665930	2
ENSG00000143994	ABHD1	2	27346682	27353680	1	protein_coding	84696	ABHD1	1.06027288753589e-21	-0.251069432	9	8.668	4.34950998829e-11	rs7575465;rs4665930	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	2	6.143	7.5181134207e-07	rs7575465;rs4665930	2
ENSG00000268688	AC007382.1	2	37068327	37068530	-1	protein_coding	NA	NA	NA	NA	7	10.39	2.40676261143e-08	rs2691112	3
ENSG00000115808	STRN	2	37070783	37193615	-1	protein_coding	6801	STRN	0.969336393172942	-1.219211598	62	14.17	1.29240325109e-08	rs2691112	3
ENSG00000008869	HEATR5B	2	37195526	37311485	-1	protein_coding	54497	HEATR5B	8.10479286093348e-10	-0.120441572	17	14.17	6.80359619309e-07	rs2691112	3
ENSG00000044524	EPHA3	3	89156674	89531284	1	protein_coding	2042	EPHA3	0.0156859621990761	-0.110283635	15	22.3	2.70549915804e-10	rs35124509	5
ENSG00000042832	TG	8	133879203	134147147	1	protein_coding	7038	TG	2.62956477021395e-29	-0.23993182	80	9.993	2.5991443664e-08	rs7000137	8
ENSG00000155926	SLA	8	134048973	134115298	-1	protein_coding	6503	SLA	0.722953169634171	-0.370064375	71	9.119	2.5991443664e-08	rs7000137	8
ENSG00000119514	GALNT12	9	101569981	101612363	1	protein_coding	79695	GALNT12	0.0028256589510292	0.213659477	1	4.317	0.00140881014522	rs911934	9
ENSG00000123243	ITIH5	10	7601232	7708961	-1	protein_coding	80760	ITIH5	5.63852864594726e-13	NA	1	25.7	3.66056282508e-11	rs41298373	10
ENSG00000165617	DACT1	14	59100685	59115039	1	protein_coding	51339	DACT1	0.81659755259209	NA	2	6.602	6.64246935234e-10	rs160459;rs1742882	11
ENSG00000100592	DAAM1	14	59655364	59838123	1	protein_coding	23002	DAAM1	0.999990849460485	1.582359631	13	16.92	3.94329653375e-08	rs76341705	12
ENSG00000015413	DPEP1	16	89679716	89704839	1	protein_coding	1800	DPEP1	0.000136492958599163	-0.167373086	3	1.602	0.000248169526458	rs17232491	14
ENSG00000131165	CHMP1A	16	89710839	89724253	-1	protein_coding	5119	CHMP1A	0.252036809419505	0.228699745	2	8.503	5.89898772887e-05	rs17232491	14
ENSG00000167523	SPATA33	16	89724210	89737680	1	protein_coding	124045	SPATA33	2.72892869796854e-06	0.42595794	3	8.503	3.69640074496e-05	rs17232491	14
ENSG00000185324	CDK10	16	89747145	89762772	1	protein_coding	8558	CDK10	2.3367075460824e-10	-0.209287955	3	7.147	4.94109571036e-08	rs17232491	14
ENSG00000260259	RP11-368I7.4	16	89749028	89752977	-1	protein_coding	105371416	LINC02166	NA	NA	3	7.147	4.94109571036e-08	rs17232491	14
ENSG00000158792	SPATA2L	16	89762751	89768113	-1	protein_coding	124044	SPATA2L	0.0469218644980502	1.088727464	2	7.147	4.94109571036e-08	rs17232491	14
ENSG00000075399	VPS9D1	16	89773542	89787394	-1	protein_coding	9605	VPS9D1	0.00176648362917067	NA	1	8.611	1.43618748893e-07	rs17232491	14
ENSG00000158805	ZNF276	16	89786808	89807311	1	protein_coding	92822	ZNF276	0.000257274838666869	NA	2	8.611	4.48767956129e-09	rs17232491	14
ENSG00000187741	FANCA	16	89803957	89883065	-1	protein_coding	2175	FANCA	2.08124711168363e-34	NA	9	14.61	4.0919925226e-09	rs17232491;rs111398992	14
ENSG00000204991	SPIRE2	16	89884587	89937727	1	protein_coding	84501	SPIRE2	1.1281776245309e-10	-0.545172322	11	14.61	7.01198040604e-12	rs111398992;rs17232491;rs9939914	14
ENSG00000141002	TCF25	16	89940000	89977792	1	protein_coding	22980	TCF25	0.0517782774404855	NA	13	22	7.01198040604e-12	rs9939914;rs111398992;rs17232491;rs74837667	14
ENSG00000258839	MC1R	16	89978527	89987385	1	protein_coding	4157	MC1R	3.24606043304287e-07	0.608794345	7	22	1.17482499423e-12	rs111398992;rs74837667;rs17232491;rs9939914	14
ENSG00000198211	TUBB3	16	89985573	90002500	1	protein_coding	10381	TUBB3	NA	0.14326531	31	22	1.17482499423e-12	rs111398992;rs74837667;rs17232491;rs9939914;rs200955819	14
ENSG00000258947	TUBB3	16	89987800	90005169	1	protein_coding	10381	TUBB3	0.960789307391211	0.14326531	38	22	1.17482499423e-12	rs9939914;rs111398992;rs74837667;rs17232491;rs200955819	14
ENSG00000140995	DEF8	16	90014333	90034468	1	protein_coding	54849	DEF8	0.389991487866254	1.457518434	68	12.89	3.84986070801e-10	rs200955819;rs111398992;rs74837667;rs17232491	14
ENSG00000177946	CENPBD1	16	90036206	90038942	-1	protein_coding	92806	CENPBD1	0.0200720946377584	-0.392978384	26	26.7	3.84986070801e-10	rs200955819;rs74837667	14
ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	79007	DBNDD1	0.000234996408377196	-0.663797933	33	7.965	4.27182837714e-11	rs200955819;rs74837667;rs17232491	14
ENSG00000141013	GAS8	16	90086037	90111383	1	protein_coding	2622	GAS8	8.03531596883606e-08	1.927189183	32	23.8	4.13403311583e-09	rs200955819;rs74837667;rs17232491	14
ENSG00000221819	C16orf3	16	90095316	90096309	-1	protein_coding	750	C16orf3	0.00279281097473673	0.390816122	10	23.8	7.77436497401e-08	rs200955819	14
ENSG00000126856	PRDM7	16	90122974	90158480	-1	protein_coding	11105	PRDM7	3.13626272886712e-10	0.817071391	39	13.86	3.34621631737e-06	rs200955819	14
ENSG00000159314	ARHGAP27	17	43471275	43511787	-1	protein_coding	201176	ARHGAP27	0.00125584382196987	-0.761627793	82	18.95	2.90398184006e-05	rs62063672	15
ENSG00000225190	PLEKHM1	17	43513266	43568115	-1	protein_coding	9842	PLEKHM1	0.840543209831517	-0.663068032	138	18.95	1.70221721163e-08	rs62063672	15
ENSG00000120088	CRHR1	17	43699267	43913194	1	protein_coding	1394	CRHR1	0.792134286397601	2.038085631	914	19.39	9.68929048106e-10	rs62063672	15
ENSG00000185294	SPPL2C	17	43922256	43924438	1	protein_coding	162540	SPPL2C	2.29524703916312e-05	0.187394842	117	23.5	4.78107820001e-09	rs62063672	15
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	792	26.8	4.14069736492e-25	rs62063672;rs11079727;rs3785879;rs10775404;rs9908639;rs7225002;rs17698176	15
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	101	19.15	4.14069736492e-25	rs62063672;rs10775404;rs9908639	15
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	952	22.6	5.12402598019e-27	rs9908639;rs62063672;rs7225002;rs10775404;rs17698176	15
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	75	14.22	6.63390243217e-23	rs62063672;rs10775404;rs17698176	15
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	8	12.59	6.63390243217e-23	rs62063672;rs10775404;rs17698176	15
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	55	17.18	1.60647088057e-21	rs62063672;rs17698176;rs10775404	15
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	39	16.08	3.13247998848e-20	rs62063672;rs10775404;rs17698176	15
